дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-08-12 09:00:01	36211	Сенсор № 1028; Кейс № 8037;	ftp://ftp.cloud.gcm/traffic/1028/1628698795_2021_08_11____19_19_55_580032.pcap
2021-08-12 09:00:02	36212	Сенсор № 1117; Кейс № 8038;	ftp://ftp.cloud.gcm/traffic/1117/1628699978_2021_08_11____19_39_38_233151.pcap
2021-08-12 09:00:02	36213	Сенсор № 1099; Кейс № 8040;	ftp://ftp.cloud.gcm/traffic/1099/1628696057_2021_08_11____18_34_17_586859.pcap
2021-08-12 09:00:03	36214	Сенсор № 1072; Кейс № 8047;	ftp://ftp.cloud.gcm/traffic/1072/1628698421_2021_08_11____19_13_41_180074.pcap
2021-08-12 09:30:01	36215	Сенсор № 1003; Кейс № 7823;	ftp://ftp.cloud.gcm/traffic/1003/1628388017_2021_08_08____05_00_17_756785.pcap
2021-08-12 10:30:02	36216	Сенсор № 1065; Кейс № 8045;	ftp://ftp.cloud.gcm/traffic/1065/1628711329_2021_08_11____22_48_49_155438.pcap
2021-08-12 10:30:02	36217	Сенсор № 1089; Кейс № 8036; Воздействие так же направлено на следующие адреса: 192.168.99.93	ftp://ftp.cloud.gcm/traffic/1089/1628692806_2021_08_11____17_40_06_069312.pcap
2021-08-12 10:30:07	36218	Сенсор № 1078; Кейс № 8051;	ftp://ftp.cloud.gcm/traffic/1078/1628749918_2021_08_12____09_31_58_473637.pcap
2021-08-12 11:00:01	36219	Сенсор № 1036; Кейс № 8052;	ftp://ftp.cloud.gcm/traffic/1036/1628752548_2021_08_12____10_15_48_250098.pcap
2021-08-12 11:00:02	36220	Сенсор № 1022; Кейс № 8053;	ftp://ftp.cloud.gcm/traffic/1022/1628753577_2021_08_12____10_32_57_785288.pcap
2021-08-12 18:00:01	36221	Сенсор № 1132; Кейс № 8073;	ftp://ftp.cloud.gcm/traffic/1132/1628759351_2021_08_12____12_09_11_468258.pcap , ftp://ftp.cloud.gcm/traffic/1132/1628759356_2021_08_12____12_09_16_468985.pcap , ftp://ftp.cloud.gcm/traffic/1132/1628759353_2021_08_12____12_09_13_763814.pcap
