дата_обработки	№_карточки	№_сенсора_и_№_кейса	файлы_на_FTP
2021-07-30 09:00:01	35865	Сенсор № 1002; Кейс № 7279;	ftp://ftp.cloud.gcm/traffic/1002/1627573553_2021_07_29____18_45_53_612575.pcap
2021-07-30 09:00:05	35866	Сенсор № 1054; Кейс № 7289; Воздействие так же направлено на следующие адреса: 144.206.59.228	ftp://ftp.cloud.gcm/traffic/1054/1627592769_2021_07_30____00_06_09_963004.pcap
2021-07-30 09:00:06	35867	Сенсор № 1048; Кейс № 7291;	ftp://ftp.cloud.gcm/traffic/1048/1627587083_2021_07_29____22_31_23_858404.pcap
2021-07-30 09:00:08	35868	Сенсор № 1070; Кейс № 7262; Воздействие так же направлено на следующие адреса: 62.33.223.106, 62.33.223.108	ftp://ftp.cloud.gcm/traffic/1070/1627568162_2021_07_29____17_16_02_957296.pcap , ftp://ftp.cloud.gcm/traffic/1070/1627601251_2021_07_30____02_27_31_377878.pcap
2021-07-30 09:00:08	35869	Сенсор № 1071; Кейс № 7242;	ftp://ftp.cloud.gcm/traffic/1071/1627601697_2021_07_30____02_34_57_622527.pcap , ftp://ftp.cloud.gcm/traffic/1071/1627508567_2021_07_29____00_42_47_466113.pcap , ftp://ftp.cloud.gcm/traffic/1071/1627601699_2021_07_30____02_34_59_926849.pcap , ftp://ftp.cloud.gcm/traffic/1071/1627602211_2021_07_30____02_43_31_895902.pcap
2021-07-30 09:00:10	35870	Сенсор № 1134; Кейс № 7244;	ftp://ftp.cloud.gcm/traffic/1134/1627602205_2021_07_30____02_43_25_277393.pcap , ftp://ftp.cloud.gcm/traffic/1134/1627572045_2021_07_29____18_20_45_228900.pcap , ftp://ftp.cloud.gcm/traffic/1134/1627601999_2021_07_30____02_39_59_424850.pcap , ftp://ftp.cloud.gcm/traffic/1134/1627533685_2021_07_29____07_41_25_133638.pcap
2021-07-30 09:00:16	35871	Сенсор № 1017; Кейс № 7273; Воздействие так же направлено на следующие адреса: 195.42.73.204	ftp://ftp.cloud.gcm/traffic/1017/1627601997_2021_07_30____02_39_57_143611.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627617683_2021_07_30____07_01_23_311456.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627601975_2021_07_30____02_39_35_002651.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627572035_2021_07_29____18_20_35_000096.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627601862_2021_07_30____02_37_42_112036.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627618764_2021_07_30____07_19_24_476283.pcap , ftp://ftp.cloud.gcm/traffic/1017/1627607392_2021_07_30____04_09_52_835674.pcap
2021-07-30 09:00:20	35872	Сенсор № 1072; Кейс № 7285;	ftp://ftp.cloud.gcm/traffic/1072/1627599872_2021_07_30____02_04_32_455770.pcap
2021-07-30 09:00:20	35873	Сенсор № 1012; Кейс № 7286;	ftp://ftp.cloud.gcm/traffic/1012/1627601345_2021_07_30____02_29_05_078614.pcap
2021-07-30 09:00:21	35874	Сенсор № 1052; Кейс № 7287;	ftp://ftp.cloud.gcm/traffic/1052/1627609283_2021_07_30____04_41_23_599898.pcap
2021-07-30 09:00:21	35875	Сенсор № 1133; Кейс № 7250;	ftp://ftp.cloud.gcm/traffic/1133/1627556774_2021_07_29____14_06_14_072373.pcap
2021-07-30 13:00:02	35876	Сенсор № 1072; Кейс № 7015;	ftp://ftp.cloud.gcm/traffic/1072/1627150752_2021_07_24____21_19_12_377280.pcap
2021-07-30 13:00:02	35877	Сенсор № 1080; Кейс № 7020;	ftp://ftp.cloud.gcm/traffic/1080/1627155323_2021_07_24____22_35_23_672485.pcap
2021-07-30 14:00:01	35878	Сенсор № 1010; Кейс № 7298;	ftp://ftp.cloud.gcm/traffic/1010/1627595033_2021_07_30____00_43_53_562416.pcap
2021-07-30 16:00:02	35879	Сенсор № 1036; Кейс № 7301;	ftp://ftp.cloud.gcm/traffic/1036/1627644651_2021_07_30____14_30_51_542273.pcap
2021-07-30 16:00:02	35880	Сенсор № 1052; Кейс № 7303;	ftp://ftp.cloud.gcm/traffic/1052/1627648906_2021_07_30____15_41_46_944502.pcap
2021-07-30 16:00:02	35881	Сенсор № 1122; Кейс № 7296;	ftp://ftp.cloud.gcm/traffic/1122/1627515959_2021_07_29____02_45_59_663291.pcap
2021-07-30 17:30:02	35882	Сенсор № 1036; Кейс № 7310;	ftp://ftp.cloud.gcm/traffic/1036/1627654790_2021_07_30____17_19_50_060364.pcap
2021-07-30 17:30:03	35883	Сенсор № 1051; Кейс № 7274; Воздействие так же направлено на следующие адреса: 192.168.1.206	ftp://ftp.cloud.gcm/traffic/1051/1627570514_2021_07_29____17_55_14_999680.pcap
2021-07-30 18:30:01	35884	Сенсор № 1002; Кейс № 7313;	ftp://ftp.cloud.gcm/traffic/1002/1627648098_2021_07_30____15_28_18_022760.pcap
